PID,USER,PR,NI,VIRT,RES,SHR,S,%CPU,%MEM,TIME+,COMMAND
76,root,20,0,0,0,0,S,0.0,0.0,0:00.39,kcompac+
77,root,25,5,0,0,0,S,0.0,0.0,0:00.00,ksmd
80,root,39,19,0,0,0,S,0.0,0.0,0:00.00,khugepa+
81,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
82,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
83,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
84,root,-51,0,0,0,0,S,0.0,0.0,0:00.00,irq/9-a+
85,root,20,0,0,0,0,I,0.0,0.0,0:00.49,kworker+
90,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
91,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
92,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
93,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
94,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
95,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
96,root,-51,0,0,0,0,S,0.0,0.0,0:00.00,watchdo+
97,root,20,0,0,0,0,I,0.0,0.0,0:00.96,kworker+
98,root,0,-20,0,0,0,I,0.0,0.0,0:00.28,kworker+
99,root,20,0,0,0,0,S,0.0,0.0,0:00.75,kswapd0
100,root,20,0,0,0,0,S,0.0,0.0,0:00.00,ecryptf+
101,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
102,root,-51,0,0,0,0,S,0.0,0.0,0:00.00,irq/24-+
103,root,-51,0,0,0,0,S,0.0,0.0,0:00.00,irq/25-+
104,root,-51,0,0,0,0,S,0.0,0.0,0:00.00,irq/26-+
105,root,-51,0,0,0,0,S,0.0,0.0,0:00.00,irq/27-+
106,root,-51,0,0,0,0,S,0.0,0.0,0:00.00,irq/28-+
107,root,-51,0,0,0,0,S,0.0,0.0,0:00.00,irq/29-+
108,root,-51,0,0,0,0,S,0.0,0.0,0:00.00,irq/30-+
109,root,-51,0,0,0,0,S,0.0,0.0,0:00.00,irq/31-+
110,root,-51,0,0,0,0,S,0.0,0.0,0:00.00,irq/32-+
111,root,-51,0,0,0,0,S,0.0,0.0,0:00.00,irq/33-+
112,root,-51,0,0,0,0,S,0.0,0.0,0:00.00,irq/34-+
113,root,-51,0,0,0,0,S,0.0,0.0,0:00.00,irq/35-+
114,root,-51,0,0,0,0,S,0.0,0.0,0:00.00,irq/36-+
115,root,-51,0,0,0,0,S,0.0,0.0,0:00.00,irq/37-+
116,root,-51,0,0,0,0,S,0.0,0.0,0:00.00,irq/38-+
117,root,-51,0,0,0,0,S,0.0,0.0,0:00.00,irq/39-+
118,root,-51,0,0,0,0,S,0.0,0.0,0:00.00,irq/40-+
119,root,-51,0,0,0,0,S,0.0,0.0,0:00.00,irq/41-+
120,root,-51,0,0,0,0,S,0.0,0.0,0:00.00,irq/42-+
121,root,-51,0,0,0,0,S,0.0,0.0,0:00.00,irq/43-+
122,root,-51,0,0,0,0,S,0.0,0.0,0:00.00,irq/44-+
123,root,-51,0,0,0,0,S,0.0,0.0,0:00.00,irq/45-+
124,root,-51,0,0,0,0,S,0.0,0.0,0:00.00,irq/46-+
125,root,-51,0,0,0,0,S,0.0,0.0,0:00.00,irq/47-+
